autorstvo,titul,rok,pocet_stran
"Verner, Ladislav",Receptury pokrmů z polotovarů REMA,1987,117
"Vlachová, Libuše",Ovocné moučníky a dezerty,1987,331
"Vlachová, Libuše",Praktická kuchařka,1987,399
"Lenfeld, Jiří",Receptorová teorie v klinické farmakologii,1987,40
,Dietní potraviny,1987,52
"Horký, Jaroslav",Dieta při chorobách jaterních,1987,56
"Davidová, Olga",Připravujeme těstoviny,1987,32
,Synaptic Transmitters and Receptors,1987,438
"Hajková, Mária",Moučníky,1987,303
"Kojecký, Zdeněk",Dieta při nemocech žlučníku,1987,35
"Šulcová, Alexandra",Speciální stomatologická receptura,1987,33
"Brožová, Dagmar",Medové pečivo a nápoje,1987,78
"Davidová, Olga",Vánoční pečivo,1987,32
"Vlachová, Libuše",Vaříme pro slavnostní příležitosti,1987,30
"Kukla, Jaroslav",Francie očima labužníků,1987,27
"Vlčková, Alena",Koření,1987,477
"Štěpánek, Pavel",Dieta při nemocech močových cest,1987,37
"Voldánová, Marie",100 a 1 pokrmů pro dva,1987,125
"Pösingerová, Marie",Italská kuchyně,1987,194
"Syrový, František",Receptury studených pokrmů,1987,317
"Miltner, Vladimír",Indická kuchyně,1987,229
Thang Jüngling,Čínská domácí kuchyně,1987,33
"Ševčík, Jan",Dietologie v závodním stravování,1987,78
"Ševčík, Jan",Dietologie v závodním stravování,1987,73
"Kaucká, Jaroslava",Stolečku prostři se aneb Výživa v prevenci rizikových faktorů aterosklerózy,1987,111
,Československá kuchyně,1987,38
,Několik slov o pokrmech z celeru,1987,14
"Kott, Vladimír",Ovocné a zeleninové nápoje,1988,205
"Šonka, Jiří",Dieta při otylosti,1988,145
"Horníková, Maria",Kuchyň plná nápadů,1988,32
"Šafářová, Eva",Jablka ořechy med,1988,32
"Pohunek, Milan",Ryby v kuchyni,1988,266
"Kuhn, Eduard",Dieta při vředové chorobě,1988,42
"Sedláčková, Hana",Zavařujeme ovoce nakládáme zeleninu,1988,32
"Fialová, Juliana Anna",Mezinárodní kuchařka,1988,284
"Hlava, Bohumil",Zelenina,1988,31
"Karpatský, Dušan",Jugoslávská kuchyně,1988,258
"Netušil, Jaroslav",Technologie přípravy pokrmů,1988,287
"Srovnal, Pavel",Spotřebiče pro tepelnou úpravu pokrmů,1988,107
"Řešátko, Jaroslav",Speciality světových kuchyní,1988,298
"Šabykina, Ljubov' Viktorovna",Zelenina v kuchyni,1988,155
"Davidová, Olga",Vánoční pečivo,1988,32
"Pinková, Alice",Mraznička nám pomáhá,1988,32
"Šulcová, Alexandra",Speciální stomatologická receptura pro praktická cvičení z farmakologie,1988,33
"Hrubá, Marie",Kuchařka naší vesnice,1988,602
"Štotová, Ludmila",Jehněčí kůzlečí skopové,1988,32
"Skornjakov, Sergej Michajlovič",Zelená kuchyně,1988,399
,Ovoce zelenina med,1988,14
,Sortiment dietních potravin a výrobků vhodných pro racionální výživu,1988,45
,Receptury doplňkové masné výroby,1988,231
,Učební obor 64-90-2 Kuchař-číšník Kuchař-servírka,1988,105
"Smotlacha, Miroslav",Zmrazené potraviny v průmyslu a domácnosti,1988,263
"Peukertová, Drahomíra",Francouzská kuchařka,1988,245
"Potácel, Jan",Plané rostliny ve výživě,1988,101
"Šťastná, Jarmila",Lidové pečivo v Čechách a na Moravě,1988,233
"Jüngling, Thang",Čínská domácí kuchyně,1988,34
"Jüngling, Thang",Čínská domácí kuchyně,1988,33
"Hrabětová, Jana",Lidové Vánoce v Polabí,1988,19
"Hadašová, Eva",Úvod do obecné a speciální receptury pro praktická cvičení z farmakologie,1989,105
"Baudyš, Věnek",Hovězí maso,1989,32
"Vlachová, Libuše",Pokrmy a rýže,1989,31
"Matejka, Mikuláš",Technologie přípravy pokrmů,1989,132
"Müllerová, Zuzana",10 receptů pro malé kutily,1989,32
"Jodl, Jiří",Dieta bezlepková při celiakii u dětí,1989,103
"Netušil, Jaroslav",Technologie přípravy pokrmů,1989,271
"Zvolský, František",Podmínky pro výrobu a prodej zmrzlin a receptury včetně technologických postupů výroby,1989,91
"Bulková, Věra",Technologie přípravy pokrmů,1989,220
"Dufek, Oldřich",Sýry v kuchyni,1989,206
"Pinková, Alice",Receptář ve znamení zvěrokruhu aneb Sezónní kuchařka pro pokročilé,1989,335
"Rameš, Ivan",Kuchařka pro diabetiky,1989,253
"Dufek, Oldřich",Zelenina a ovoce v kuchyni,1989,157
"Dušátko, Josef",100 a 1 lahůdek z domácích zabijaček,1989,123
"Filipová, Lea",Sváteční pečivo,1989,32
,Kuchařské recepty vypsané z krásné literatury,1989,255
,Právní úprava nakládání s odpady ve vybraných zemích a mezinárodních seskupeních,1989,82
"Dušátko, Josef",Řeznická kuchařka,1989,127
"Kopáčková, Kristina",Japonská kuchyně,1989,32
"Bianki, Vitalij Valentinovič",Myslivecký rok,1989,205
"Mašek, Petr",Levné pokrmy z ryb zeleniny brambor hub luštěnin krup těstovin sýrů,1989,102
"Pohunková, Hana",Chladničky a mrazničky v domácnosti,1989,137
"Ráczová, Vlasta",Nahlédnutí do maďarské kuchyně,1989,31
"Smotlacha, Miroslav",Houbařská kuchařka,1989,237
"Nouzová, Alena",Variace na kuchyně Orientu,1989,214
"Uher, Zdeněk",Mexická kuchyně,1989,32
"Kosek, Oldřich",100 a 1 masitých pokrmů z celého světa,1989,146
"Hermanová, Ilona",Maďarská kuchyně,1989,180
"Fialová, Juliana Anna",Česká kuchařka,1989,405
"Hermanová, Ilona",Sváteční moučníky a pečivo z celého světa,1989,213
"Bastlová, Marie",Fondue pizzy slané pohoštění,1989,32
"Kopáčková, Kristina",Tykve v naší i zahraniční kuchyni,1989,32
,Pěstitelská technologie výroby osiva hlávkového salátu (Lactuca sativa L var capitata L),1989,34
"Urban, Josef",Uzeniny a konzervy v kuchyni,1989,31
"Vlachová, Libuše",Saláty,1989,136
"Baudyš, Věnek",Guláš pokaždé jinak,1989,32
"Kosolapova, Galina Jakovlevna",Sušené ovoce,1989,175
"Filipová, Lea",Vaříme s moderní technikou,1989,94
"Šerý, Vladimír",Orientální kuchyně,1989,259
"Miltner, Vladimír",Indická kuchyně,1989,190
"Paulus, Josef",Ztráty při kuchyňské přípravě pokrmů,1989,158
,Učební dokumenty pro střední odborná učiliště,1989,91
"Lavalová, Vlasta",Francouzská domácí kuchyně,1989,34
"Vlachová, Libuše",Praktická kuchařka,1989,399
"Brhlík, Eduard",Technologie přípravy pokrmů,1990,303
"Brhlík, Eduard",Technologie přípravy pokrmů,1990,244
"Matejka, Mikuláš",Technologie přípravy pokrmů,1990,137
"Vlachová, Libuše",Vaříme na víkendu,1990,322
"Hrubá, Marie",Kuchařka naší vesnice,1990,602
"Řešátko, Jaroslav",Kuchařská technologie,1990,283
"Lánská, Dagmar",Plané rostliny v kuchyni,1990,159
"Herfort, Karel",Dieta pankreatická,1990,31
"Lánská, Dagmar",Koření pro každé vaření,1990,303
"Fialová, Juliana Anna",Rychlé pokrmy,1990,172
"Hrbková, Zdeňka",Rozpracovaná učební osnova odborného výcviku pro studijní obor kuchař kuchařka - 1 ročník,1990,83
"Hrbková, Zdeňka",Rozpracovaná učební osnova odborného výcviku pro studijní obor kuchař kuchařka - 3 ročník,1990,101
"Jagelek, Roman",Stolničení pro první ročník středních odborných učilišť učební obor kuchař-číšník kuchařka-servírka,1990,145
"Vlachová, Libuše",Rybí pokrmy,1990,31
"Baudyš, Věnek",Vepřové maso,1990,32
"Dufek, Oldřich",Domácí kuchařka,1990,183
"Filipová, Lea",Vaříme pro diabetiky,1990,31
"Sedláčková, Hana",Z polotovarů a konzerv ve všední den i v neděli,1990,31
,Vaříme s Jitkou,1990,95
,Vaříme zdravě chutně a hospodárně,1990,366
"Vašák, Pavel",Poezie kuchyně aneb Recepty s příběhy,1990,95
"Rameš, Ivan",Základní dietní návody pro nemocné cukrovkou,1990,47
,Ryba pro každého,1990,63
"Sršňová, Eliška",Recepty pro každý den,1990,60
"Dufek, Oldřich",Připravujeme pohoštění,1990,223
"Filipová, Lea",Pokrmy z mletého masa,1990,94
"Havlíčková, Hana",Pečeme pro dny všední i sváteční,1990,31
"Šeda, Karel",Recepty s vůní bylinek,1990,238
"Hynie, Sixtus",Membrane Receptors and Transmembrane Signalling,1990,118
"Červená, Drahomíra",Vegetariánská kuchařka pro dospělé,1990,225
"Janků-Sandtnerová, Marie",Cukrovinky a pamlsky na vánoční stromeček i na vánoční stoleček,1990,73
"Pinková, Alice",Mraznička nám pomáhá,1990,32
"Štichová, Jiřina",Speciality družstevní kuchyně,1990,204
,Ovesné vločky na 68 způsobů,1990,23
,Minikuchařka zdravých jídel,1990,31
"Momčilová, Pavla",Netradiční vegetariánská kuchařka,1990,47
"Krausová, Jana",Vegetariánská kuchařka,1990,39
"Vít, David",Přerušená večeře,1990,10
"Endlicherová, Zdeňka",Receptury pro střední odborná učiliště,1990,226
"Tomaník, Miroslav",Čínská kuchyně,1990,113
"Jonáš, Josef",Makrobiotická kuchyně doktora Jonáše 1,1990,38
"Peukertová, Drahomíra",Moučníky dříve dnes a na zítra,1990,178
"Štotová, Ludmila",Mikrovlnná trouba,1990,31
"Škvařilová, Eliška",Receptář zdravé výživy,1990,56
"Brožová, Dagmar",Medové pečivo a nápoje,1990,40
"Lánská, Dagmar",Víno hrozny rozinky,1990,31
,Fritování ve fritovacích hrncích,1990,43
"Momčilová, Pavla",Stručná celozrnná kuchařka,1990,38
"Štotová, Ludmila",Netradiční zelenina,1990,30
"Šafářová, Eva",Vánoční receptář,1990,32
"Janků-Sandtnerová, Marie",Kniha rozpočtů a kuchařských předpisů,1990,508
"Tesař, Radek",Zdravě levně bez masa aneb Stanou se z nás vegetariáni,1990,32
"Stoklasová, Jiřina",Přijďte k nám na večeři,1990,189
"Kejřová, Anuše",Úsporná kuchařka,1990,330
"Průchová, Jarmila",Život místo živoření,1990,263
"Endlicherová, Zdeňka",Kuchařka pro všední a sváteční dny,1990,131
"Šubrt, Roman",Tibetská a indická skorovegetariánská kuchařka,1990,32
"Kubíčková, Miluše",Proč se vyhýbat bílému cukru,1990,36
,Technický popis domácích chladniček a mrazniček,1990,74
"Půhoný, Karel",Konzervace a ukládání potravin v domácnosti,1990,319
"Balková, Anita",Pod brazilskou pokličkou,1990,34
"Doupovcová, Margit",Stravou proti plísním,1990,22
"Krpcová, Libuše",Abeceda pomazánek,1990,63
"Koudelka, Karel",Asijská kuchařka,1990,55
"Červená, Drahomíra",Vegetariánská kuchařka pro děti,1990,45
"Loužková, Vlasta",Recepty z hájovny,1990,33
,Moravské speciality,1990,64
"Frolíková, Jana",40 + 5 vánočních receptů,1990,16
"Skornjakov, Sergej Michajlovič",Zelená kuchyně,1991,399
"Brožová, Dagmar",Medové pečivo a nápoje,1991,40
"Dušátko, Josef",Řeznická kuchařka,1991,127
"Vlachová, Libuše",Pokrmy s příchutí papriky,1991,32
"Zapletal, Ivo",Severoamerická kuchyně,1991,32
"Jirsová, Eva",Dieta při onemocnění dnou,1991,51
"Červenka, Ivan",Recepty na které spisovatelé zapomněli aneb Romány na talíři,1991,30
"Fořt, Petr",Pizzy,1991,35
"Karas, Pavel",Svět v kuchyni,1991,128
"Mořický, František",Horácká kuchařka,1991,59
"Vrabec, Vilém",Moderní studená kuchyně,1991,251
"Elstner, František Alexander",Zálesácká kuchyně,1991,192
"Endlicherová, Zdeňka",Receptury pro střední odborná učiliště,1991,201
"Farkas, Stefan",100 a 1 pokrmů pro labužníky,1991,127
"Gregor, Hynek",Tábornická kuchařka,1991,62
"Herčíková, Heda",Kuchařka Hedy - Terezie,1991,228
"Jonáš, Josef",Makrobiotická kuchyně doktora Jonáše,1991,38
"Procházková, Věra",Recepty pro všední den,1991,31
"Soukupová, Iva",První domácí rozpočtová kuchařka,1991,32
"Režný, Pavel",Počítačová kuchařka,1991,37
"Mařatka, Zdeněk",Dieta při zácpě a plynatosti,1991,36
"Břízová, Joza",Nová domácí kuchařka,1991,510
"Buna, Slávek",Speciality české kuchyně,1991,47
"Faktor, Viktor",2 x 365 vegetariánských omáček studených polévek pomazánek majonéz zálivek a krémů,1991,182
"Hrubá, Marie",Kuchařka naší vesnice,1991,602
"Karas, Pavel",Zahraniční kuchyně ve veřejném stravování,1991,383
"Pekárek, Jaroslav",Vaříme pro starší generaci,1991,28
"Peukertová, Drahomíra",Švýcarská kuchyně,1991,109
,Vaříme bez masa aneb Mazdaznanská kuchařka,1991,109
"Vlachová, Libuše",Polévky,1991,95
"Příhoda, Josef",Cereální chemie a technologie III,1991,58
"Bulková, Věra",Technologie přípravy pokrmů II,1991,170
"Buna, Slávek",Speciality moravské kuchyně,1991,28
"Koudelka, Karel",Kuchařka levných jídel,1991,57
"Novák, Antonín",Minikuchařka moderních receptur aneb Jak zdravě a chutně jíst,1991,28
"Procházková, Věra",Recepty našich babiček,1991,31
"Tetzeliová, Michaela",Vaříme dětem,1991,30
"Zemánková, Milada",Sója v naší kuchyni,1991,126
"Tyler, Anne",Večeře v restauraci Domov,1991,315
"Dufek, Oldřich",Vaječné recepty,1991,31
"Jerhot, Jan",Sója a sójové výrobky,1991,24
,Receptury teplých pokrmů,1991,575
,Recepty zmrzlin a nápojů,1991,31
"Šafářová, Eva",Pokrmy s vůní česneku,1991,31
"Švengr, Jaroslav",Mléčné recepty,1991,31
,Zdraví nejsou žádné čáry aneb Vaříme netradičně chutně levně a zdravě,1991,34
"Buna, Slávek",Speciality slovenské kuchyně,1991,43
"Červenka, Ivan",65 + 9 receptů na dovolenou,1991,20
"Filipová, Lea",Vaříme s moderní technikou,1991,94
"Kalendová, Kateřina",Vaříme na chatě a na chalupě,1991,64
,Láska prochází žaludkem aneb kuchařka pro milence,1991,89
"Mikoláš, Václav",Turecká kuchyně,1991,107
"Momčilová, Pavla",Stručná celozrnná kuchařka,1991,39
"Müllerová-Paloučková, Marcela",Recepty ve znamení zdravé výživy,1991,32
,Ovocné recepty,1991,31
,Perly evropské kuchyně,1991,127
"Pilarová, Eva",Vaří Eva Pilarová,1991,32
"Ráczová, Vlasta",ABC začínající kuchařky,1991,247
"Sedláčková, Hana",Drůbež a drůbeží pochoutky,1991,217
"Steinhauser, Ladislav",Vaříme a udíme doma,1991,191
"Šejbalová, Jiřina",Opět Vaříme na chatě,1991,126
"Ševčíková, Božena",Pečeme chléb doma a na chalupě,1991,47
"Vlčková, Alena",Zavařování,1991,80
"Půhoný, Karel",Jablka a hrušky,1991,24
"Kratochvíl, Petr",Cukrářské recepty,1991,30
"Nováková, Soňa",Vaříme za šesták,1991,95
"Polaufová, Alžběta",Úsporná kuchyně,1991,32
,Pro volnou chvíli,1991,61
"Šimáčková, Duňa Marie",Praktická sójová kuchařka,1991,105
"Haleš, Josef",Vegetariánský receptář je základem našeho zdraví,1991,91
"Růžičková, Marie",Nápady z kuchyně a ze zahrady,1991,32
,Kuchařka našich předků,1991,47
,Posvícenská kuchyně,1991,48
,Vánoční krajová kuchyně,1991,48
"Janků-Sandtnerová, Marie",Moučníky a zavařeniny,1991,70
,Když je hluboko do kapsy aneb Kuchařka dnešních dnů,1991,69
,Neobvyklé recepty sladkostí,1991,29
"Nodl, Ladislav",70 + 9 receptů studené kuchyně,1991,16
,Recepty pečiva,1991,29
"Tetzeliová, Michaela",ABC vaření pro muže,1991,30
"Vrabec, Vilém",Velká kuchařka,1991,638
,Velká kuchařka pro mikrovlnnou troubu,1991,447
"Endlicherová, Zdeňka",Žebrácká kuchařka,1991,110
"Netušil, Jaroslav",Technologie přípravy pokrmů,1991,287
"Sečanský, Imrich",Vaříme diabetikům,1991,224
,Vaříme dětem,1991,47
"Šulcová, Alexandra",Speciální stomatologická receptura pro praktická cvičení z farmakologie,1991,33
,Apetit,1991,95
"Horan, Peter",Vaříme dětem chutně a zdravě,1991,42
"Horan, Peter",Vaříme dětem chutně a zdravě,1991,46
"Hrbková, Zdeňka",Rozpracovaná učební osnova odborného výcviku pro studijní obor kuchař kuchařka 2 ročník,1991,79
"Sís, Vladimír",Počítání nudliček v jarní polévce,1991,127
"Adensámová, Jana",Pečeme na vánoce,1991,63
"Endlicherová, Zdeňka",Kuchařka pro každý den,1991,199
"Marhold, Jiří",Krkonošská kuchařka,1991,429
"Pinková, Alice",12 měsíců v moderní kuchyni,1991,125
"Polena, Pavel",Recepty nejen pro rybáře,1991,202
,Vaříme s Habadějem,1991,79
"Strmiska, Josef",Výroba tvarohu a tvarohových specialit,1991,271
"Krausová, Jana",Kurs vaření a přípravy plnohodnotných jídel,1991,14
"Kráčmar, Jiří",Rybářská kuchařka,1991,301
"Pribiš, Peter",Syrová strava - saláty,1991,32
"Rychlík, Alois Jiří",Strava jako lék,1991,267
"Škvařilová, Eliška",Vánoční cukroví tentokrát zdravěji,1991,73
"Ždichynec, Bohumil",Léčitelská kuchařka,1991,245
,Bylinné recepty,1991,101
"Dufek, Oldřich",Domácí kuchařka,1991,183
"Gsöllhofer, Alexej",Kuchařka starého mládence,1991,52
"Šimek, Jaroslav",Brambory a bramborové pokrmy,1991,194
"Tomsová, Marie",Recepty pro chuť i krásu aneb vařme v rytmu,1991,173
"Trejbal, Jaromír",Z hotelu Ritz do kuchyně Vlasty Buriana aneb Vaří mistr kuchař Jaromír Trejbal,1991,223
"Brehmen, Alexander",Česká kuchařka bezmasá aneb vaříme levně a zdravě,1991,318
"Kněz, Václav",Sýry a příprava sýrových pokrmů,1991,331
"Sehnerová, Irena",Bábovka pokaždé jiná,1991,29
"Fink, Zdeněk",Kuchařka pro nezaměstnané,1991,40
,Apetit,1991,95
"Kudrna, Miloslav",Zas nevím co vařit,1991,32
"Loomis, Frédéric",Přírodní bylinkové recepty,1991,24
"Vostatková, Jaroslava",Zdraví pro život,1991,119
"Vyhnánek, Ladislav",Recepty pro každou kapsu,1991,47
"Chang, Stephen T.",Tajemství štíhlosti,1991,170
"Principal, Victoria",Moje dieta,1991,283
"Frolíková, Jana",100 a 1 bramborových jídel,1991,87
"Nikodémová, Jindra",222 receptů pro mikrovlnnou troubu,1991,95
"Šírová, Jana",Moderní osvěžující nápoje,1991,100
"Brousková, Zuzana",Pomazánky,1991,31
"Frolíková, Jana",40 + 5 vánočních receptů,1991,12
"Filipová, Lea",Dárky z kuchyně,1991,31
"Grossová, Lenka",Bramborová kuchařka,1991,31
,Gastronomická revue,1991,14
